,artist_id,name,genres,popularity,followers,track_id,track_name,release_date,release_date_precision,album_len,duration_ms,explicit,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Genre,Map
28,40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,"classic oklahoma country,modern country pop",86.0,2509443.0,1fvC3CmNAbsx0V9ULMU8NB,Sarah's Place (feat. Noah Kahan),2023-09-21,day,1.0,214056.0,False,80.0,0.576,0.683,7.0,-5.103,1.0,0.118,0.41,0.0,0.0819,0.433,151.566,4.0,['Country'],True
29,40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,"classic oklahoma country,modern country pop",86.0,2509443.0,1fvC3CmNAbsx0V9ULMU8NB,Sarah's Place (feat. Noah Kahan),2023-09-21,day,1.0,214056.0,False,80.0,0.576,0.683,7.0,-5.103,1.0,0.118,0.41,0.0,0.0819,0.433,151.566,4.0,['Country'],True
30,40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,"classic oklahoma country,modern country pop",86.0,2509443.0,0HEytGQM3bG1vKxER7IgVK,Spotless (feat. The Lumineers),2023-08-25,day,16.0,169467.0,True,83.0,0.604,0.444,0.0,-7.695,1.0,0.0698,0.409,0.0,0.0837,0.169,72.129,4.0,['Country'],True
31,40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,"classic oklahoma country,modern country pop",86.0,2509443.0,0HEytGQM3bG1vKxER7IgVK,Spotless (feat. The Lumineers),2023-08-25,day,16.0,169467.0,True,83.0,0.604,0.444,0.0,-7.695,1.0,0.0698,0.409,0.0,0.0837,0.169,72.129,4.0,['Country'],True
32,2uYWxilOVlUdk4oV9DvwqK,Mitski,"brooklyn indie,pov: indie",81.0,5611748.0,3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,2023-09-15,day,11.0,137773.0,False,97.0,0.504,0.308,9.0,-14.958,1.0,0.0321,0.868,0.135,0.158,0.121,113.95,4.0,['Indie'],True
33,2uYWxilOVlUdk4oV9DvwqK,Mitski,"brooklyn indie,pov: indie",81.0,5611748.0,3jjsRKEsF42ccXf8kWR3nu,Washing Machine Heart,2018-08-17,day,14.0,128198.0,False,86.0,0.613,0.822,9.0,-4.087,1.0,0.026,0.0092,0.506,0.429,0.567,105.997,4.0,['Indie'],True
34,2uYWxilOVlUdk4oV9DvwqK,Mitski,"brooklyn indie,pov: indie",81.0,5611748.0,3sslYZcFKtUvIEWN9lADgr,First Love/Late Spring,2014-11-11,day,10.0,278640.0,False,81.0,0.445,0.543,0.0,-8.196,1.0,0.0272,0.000825,0.0137,0.202,0.102,99.963,4.0,['Indie'],True
35,2uYWxilOVlUdk4oV9DvwqK,Mitski,"brooklyn indie,pov: indie",81.0,5611748.0,2Co0IjcLTSHMtodwD4gzfg,I Bet on Losing Dogs,2016-06-17,day,11.0,170240.0,False,80.0,0.398,0.493,9.0,-9.561,1.0,0.0303,0.00347,0.000157,0.106,0.412,82.048,4.0,['Indie'],True
36,2uYWxilOVlUdk4oV9DvwqK,Mitski,"brooklyn indie,pov: indie",81.0,5611748.0,5411TEB6tlzvuF5A4oyldr,Francis Forever,2014-11-11,day,10.0,149680.0,False,80.0,0.535,0.448,2.0,-9.167,1.0,0.0279,0.00262,1.94e-05,0.115,0.32,101.986,4.0,['Indie'],True
37,2uYWxilOVlUdk4oV9DvwqK,Mitski,"brooklyn indie,pov: indie",81.0,5611748.0,2P5yIMu2DNeMXTyOANKS6k,Nobody,2018-08-17,day,14.0,193429.0,False,79.0,0.398,0.717,0.0,-5.253,1.0,0.0398,0.07,0.0,0.085,0.487,117.296,4.0,['Indie'],True
38,2uYWxilOVlUdk4oV9DvwqK,Mitski,"brooklyn indie,pov: indie",81.0,5611748.0,3pANfZVFdtuVnJsE6xa5Ox,Me and My Husband,2018-08-17,day,14.0,137141.0,False,79.0,0.497,0.638,1.0,-5.31,1.0,0.0274,0.0467,0.0,0.385,0.77,172.01,4.0,['Indie'],True
39,2uYWxilOVlUdk4oV9DvwqK,Mitski,"brooklyn indie,pov: indie",81.0,5611748.0,3XCveEutwTaDiekRkkfdp9,Liquid Smooth,2012-01-31,day,9.0,169773.0,False,77.0,0.424,0.342,7.0,-9.469,0.0,0.0339,0.838,0.0,0.136,0.124,76.235,4.0,['Indie'],True
40,2uYWxilOVlUdk4oV9DvwqK,Mitski,"brooklyn indie,pov: indie",81.0,5611748.0,7fd3aMiuwHWKsTdZafjOfZ,A Pearl,2018-08-17,day,14.0,156145.0,False,76.0,0.295,0.637,8.0,-4.043,1.0,0.0288,0.0496,0.0236,0.112,0.221,84.551,4.0,['Indie'],True
41,2uYWxilOVlUdk4oV9DvwqK,Mitski,"brooklyn indie,pov: indie",81.0,5611748.0,7FHj19QQigvMH1onMYRNLn,I Want You,2013-08-01,day,9.0,183792.0,False,76.0,0.339,0.292,3.0,-11.294,1.0,0.0348,0.514,0.0,0.0713,0.0655,131.702,3.0,['Indie'],True
42,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,2YSzYUF3jWqb9YP9VXmpjE,IDGAF (feat. Yeat),2023-10-06,day,23.0,260111.0,True,94.0,0.663,0.67,8.0,-8.399,1.0,0.271,0.0464,8.92e-05,0.205,0.138,136.952,4.0,"['Rap', 'Pop', 'Hip Hop']",True
43,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,7aqfrAY2p9BUSiupwk3svU,First Person Shooter (feat. J. Cole),2023-10-06,day,23.0,247444.0,True,92.0,0.47,0.64,2.0,-7.779,1.0,0.32,0.0277,0.0,0.382,0.248,163.92,4.0,"['Rap', 'Pop', 'Hip Hop']",True
44,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,7aqfrAY2p9BUSiupwk3svU,First Person Shooter (feat. J. Cole),2023-10-06,day,23.0,247444.0,True,92.0,0.47,0.64,2.0,-7.779,1.0,0.32,0.0277,0.0,0.382,0.248,163.92,4.0,"['Rap', 'Pop', 'Hip Hop']",True
45,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,0AYt6NMyyLd0rLuvr0UkMH,Slime You Out (feat. SZA),2023-10-06,day,23.0,310490.0,True,83.0,0.483,0.408,5.0,-9.243,0.0,0.0502,0.508,0.0,0.259,0.105,88.88,3.0,"['Rap', 'Pop', 'Hip Hop']",True
46,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,0AYt6NMyyLd0rLuvr0UkMH,Slime You Out (feat. SZA),2023-10-06,day,23.0,310490.0,True,83.0,0.483,0.408,5.0,-9.243,0.0,0.0502,0.508,0.0,0.259,0.105,88.88,3.0,"['Rap', 'Pop', 'Hip Hop']",True
47,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),2022-06-17,day,14.0,218364.0,True,89.0,0.529,0.673,0.0,-4.711,1.0,0.175,0.000307,2.41e-06,0.093,0.366,165.921,4.0,"['Rap', 'Pop', 'Hip Hop']",True
48,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),2022-06-17,day,14.0,218364.0,True,89.0,0.529,0.673,0.0,-4.711,1.0,0.175,0.000307,2.41e-06,0.093,0.366,165.921,4.0,"['Rap', 'Pop', 'Hip Hop']",True
49,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,1zi7xx7UVEFkmKfv06H8x0,One Dance,2016-05-06,day,20.0,173986.0,False,89.0,0.792,0.625,1.0,-5.609,1.0,0.0536,0.00776,0.0018,0.329,0.37,103.967,4.0,"['Rap', 'Pop', 'Hip Hop']",True
50,3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95.0,81558952.0,1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),2023-10-06,day,23.0,319191.0,True,88.0,0.645,0.729,2.0,-4.56,1.0,0.0528,0.0377,0.0,0.384,0.142,146.01,4.0,"['Rap', 'Pop', 'Hip Hop']",True
