name,artist_id
Lainey Wilson,6tPHARSq45lQ8BSALCfkFC
Chris Stapleton,4YLtscXsxbVgi031ovDDdh
Offset,4DdkRBBYG6Yk9Ka8tdJ9BW
Jason Aldean,3FfvYsEGaIb52QPXhg4DcH
Paul Russell,4zoRNhOhsGX3w8yBAnFSQ8
Oliver Anthony Music,6IkfE2JyVoKwBZXvuytKX3
Young Nudy,5yPzzu25VzEk8qrGTLIrE1
Rod Wave,45TgXXqMDdF8BkjA83OM7z
Jessie Murph,2yLzlEFtIS0Q9UkyBZdQA7
Sexyy Red,3DbwFQlvLxRSi2uX8mf81A
Victoria Monét,63XBtGSEZINSyXylZxEUbv
*NSYNC,6Ff53KvcvAj5U7Z1vojB5o
HARDY,5QNm7E7RU2m64l6Gliu8Oy
AFROJACK,4D75GcNG95ebPtNvoNVXhz
Chris Brown,7bXgB6jMjp9ATFy66eO08Z
Alien Ant Farm,6TZdvF1kFzwnQLgHQynzsO
Aurora Jayde,3MV8aOR91lzhsfoIMd0g5z
Derek Norsworthy,05eD7r0lrv7tVX32XYnUDs
Awake Past 3,6a9sa1cMkU55p7QGbjSzNu
La Roux,3K2zB87GZv1krx031en5VA
Wavvy Tape,6dMtOcYDs2wDlYuyxjgkRs
Michael Franti & Spearhead,1mHuZMOP8FG5ip4yAb1vrB
Glee Cast,0SCbttzoZTnLFebDYmAWCm
Dylan Matthew,6d0ZjIp5L7Ygy2l02HskRX
Leida Taylor,0aogCZxZS1h1dWzGm6eBsp
Kevin Rudolf,0Chxmm4XMM87mJOHvyiUzL
Jessie J,2gsggkzM5R49q6jpPvazou
Supreme Unbeing,2A5XX9330cn5wnouz8SMAx
Eastern Thrills,7rvhhrFPLui1EZewolgYjE
Cobra Starship,2aYJ5LAta2ScCdfLhKgZOY
Ava Della Pietra,5whBm2Wk9GvITjOclp8nQX
Christina Aguilera,1l7ZsJRRS8wlW3WfJfPfNS
Savage Sons,1YEEbHKA7t5pYoNnjtHSzP
Madonna,6tbjWDEIzxoDsBA1FuhfPW
Jet Fuel & Ginger Ales,1dPgPwYz4zapkdMwTIxq7y
Shania Twain,5e4Dhzv426EvQe3aDb64jL
Daryl Hall & John Oates,77tT1kLj6mCWtFNqiOmP9H
The B-52's,3gdbcIdNypBsYNu3iiCjtN
Bonnie McKee,7dtJROxWQe3fxxF5t7o67N
Orianthi,0yNy8fi1yBBq526E6mx4Zs
The Grunge Growlers,0JpwHe11MFhd77gsR9TNT4
Deborah Cox,601893mmW5hl1FBOykWZHG
Daft Punk,4tZwfgrHOc3mvqYlEYSvVi
JAY-Z,3nFkdlSjzX9mRTtwJOzDYB
Nelly,2gBjLmx6zQnFGQJCAQpRgw
Sean Paul,3Isy6kedDrgPYoTS1dazA9
Rascal Flatts,0a1gHP0HAqALbEyxaD5Ngn
