artist_id,name,genres,popularity,followers
2DaxqgrOhkeH0fpeiQq2f4,Oasis,"beatlesque,britpop,madchester,permanent wave,rock",74,9327562
6olE6TJLqED3rqDCT0FyPh,Nirvana,"grunge,permanent wave,rock",78,18447864
3sgFRtyBnxXD5ESfmbK4dl,LMFAO,"dance pop,pop,pop rap",63,4238566
4dpARuHxo51G3z768sgnrY,Adele,"british soul,pop,pop soul,uk pop",83,52346494
2AsusXITU8P25dlRNhcAbG,Gotye,australian pop,64,2320076
6jJ0s89eD6GaHleKKya26X,Katy Perry,pop,81,30187791
16oZKvXb6WkQlVAjwo2Wbg,The Lumineers,"folk-pop,modern rock,stomp and holler",76,5263815
6MF9fzBmfXghAz953czmBC,Taio Cruz,"dance pop,pop,pop rap",66,2256571
5nLYd9ST4Cnwy6NHaCxbj8,CeeLo Green,atl hip hop,63,591948
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,"dance pop,pop",77,8627499
4njdEjTnLfcGImKZu1iSrz,AWOLNATION,"la indie,modern alternative rock,modern rock,rock,stomp pop",58,2138228
3b8QkneNDz4JHKKKlLgYZg,Florida Georgia Line,"contemporary country,country,country pop,country road,modern country rock",71,5416760
0TnOYISbd1XYRBk9myaseg,Pitbull,"dance pop,miami hip hop,pop",79,10254056
6sFIWsNpZYqfjUpaCgueju,Carly Rae Jepsen,"canadian pop,dance pop,pop",69,5166743
4kYSro6naA4h99UJvo89HB,Cardi B,"pop,rap",77,22524892
31TPClRtHm23RisEBtV3X7,Justin Timberlake,"dance pop,pop",78,13412794
3FUY2gzHeIiaesXtOAdB7A,Train,"dance pop,neo mellow,pop,pop rock",70,4324334
6PXS4YHDkKvl1wkIl4V8DL,Fetty Wap,"new jersey rap,pop rap,rap,southern hip hop,trap",67,4557694
0ZrpamOxcZybMHGg1AYtHP,Robin Thicke,"dance pop,neo soul,pop rap,r&b,urban contemporary",60,1949755
2RdwBSPQiwcmiDo9kixcl8,Pharrell Williams,"dance pop,pop",76,4296091
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,"hip pop,pop",74,14153086
32WkQRZEVKSzVAAYqukAEA,Lady A,"contemporary country,country,country dawn,country pop,country road",64,3800767
5nCi3BB41mBaMH9gfr6Su0,fun.,"baroque pop,metropopolis",64,3416624
75FnCoo4FBxH5K1Rrx0k5A,The Band Perry,"contemporary country,country,country dawn,country road",53,1609154
4V8Sr092TqfHkfAA5fXXqG,Luis Fonsi,"latin pop,puerto rican pop",71,11125885
163tK9Wjr9P9DmM0AVK7lm,Lorde,"art pop,metropopolis,nz pop,pop",73,9985848
5CiGnKThu5ctn9pBxv7DGa,benny blanco,pop,68,1078279
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,"hip hop,pittsburgh rap,pop rap,rap,southern hip hop,trap",78,11168043
5WUlDfRSoLAfcVSX1WnrxN,Sia,"australian dance,australian pop,pop",81,27153804
7juKTDFlPesGeWQ1GmjmOv,Silentó,"chicago bop,pinoy hip hop",46,226000
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,"indietronica,metropopolis,pop,uk pop",76,12343987
20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,"modern rock,pop",74,12024687
7EQ0qTo7fWT7DPxmxtSYEc,Bastille,"metropopolis,modern rock,pop",71,5477782
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,"barbadian pop,pop,urban contemporary",87,58339220
5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer,"boy band,pop",74,9731973
6LuN9FCkKOj5PcnpouEgny,Khalid,"pop,pop r&b",81,16180791
6DIS6PRrLS3wbnZsf7vYic,WALK THE MOON,"dance rock,modern alternative rock,modern rock,neo mellow,pop rock",65,2112503
23zg3TcAtWQy7J6upgbUnj,USHER,"atl hip hop,contemporary r&b,dance pop,pop,r&b,rap,south carolina hip hop,urban contemporary",77,10794317
0DxeaLnv6SyYk2DOqkLO8c,MAGIC!,"pop,reggae fusion",63,1321805
7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,"dance pop,latin pop,mexican pop",75,11247695
2qxJFvFYMEDqd7ui6kSAcq,Zedd,"complextro,edm,german techno,pop,pop dance",71,5980542
7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,"boy band,pop",74,7284255
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,"big room,dance pop,edm,pop,pop dance",84,26400889
6LqNN22kT3074XbTVUrhzX,Kesha,"dance pop,pop",73,7670023
1Y8cdNmUJH7yBTd9yOvr5i,Destiny's Child,"dance pop,girl group,pop,r&b,urban contemporary",68,6779765
26dSoYclwsYLMAKD3tpOr4,Britney Spears,"dance pop,pop",78,13146653
0jnsk9HBra6NMjO2oANoPY,Flo Rida,"dance pop,miami hip hop,pop,pop rap",75,8836713
5rGrDvrLOV2VV8SCFVGWlj,Imanbek,"electro house,pop dance,slap house",69,199425
716NhGYqD1jl2wI1Qkgq36,Bizarrap,"argentine hip hop,pop venezolano,trap argentino,trap latino,urbano latino",83,13136067
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,"dance pop,pop,pop rap",77,7783449
2l35CQqtYRh3d8ZIiBep4v,MKTO,"pop,post-teen pop",62,1049943
0oPeHAZ3BpdlD8EyeBLady,HÄWK,"stutter house,tech house",48,49874
2AMYoSyrndaS01IOijAuhP,BETHY,,21,561
0kA7YYrQJET0k0b3VHVZ2c,Skilteck,,21,1939
56oDRnqbIiwx4mymNEv7dS,Lizzo,"escape room,minnesota hip hop,pop,trap queen",70,5664900
4OBJLual30L7gRl5UkeRcT,T.I.,"atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap",71,4690235
5lKZWd6HiSCLfnDGrq9RAm,Leona Lewis,"british soul,dance pop,pop,talent show",62,3555521
35KNaNrpjGSXqMHJf3p67q,Steinsdotter,,21,918
7keGfmQR4X5w0two1xKZ7d,Kungs,"edm,pop dance,uk dance",68,930853
0nVvtYn9kK3NEegwMtyock,Hoodie Forester,,26,438
0LcJLqbBmaGUft1e9Mm8HV,ABBA,"europop,swedish pop",76,11160449
1aSxMhuvixZ8h9dK9jIDwL,Kate Bush,"art pop,art rock,baroque pop,new wave pop,permanent wave,piano rock,singer-songwriter",66,1763118
65myEloviHpLiDJ7sA79DD,Micah McLaurin,,34,1823
4gwpcMTbLWtBUlOijbVpuu,Capital Cities,"metropopolis,modern rock",63,875180
5ILrArfIV0tMURcHJN8Q07,Vanessa Carlton,"lilith,neo mellow,piano rock,pop rock,post-teen pop",60,607641
0shFBysGw18zUHjV934zn3,Nicola Høie,,20,368
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,"canadian pop,candy pop,dance pop,pop",72,10422388
6vWDO969PvNqNYHIOW5v0m,Beyoncé,"pop,r&b",82,36230806
4yqqxloDulWcm7HJRuyJVY,Lisa Dawn Miller,,25,543
0IF46mUS8NXjgHabxk2MCM,Kelis,"dance pop,hip pop,neo soul,urban contemporary",61,590023
4yiQZ8tQPux8cPriYMWUFP,Gwen Stefani,"dance pop,pop",70,6294805
7lTrAtvHlfVsJZgXMMR05X,Harleymoon Kemp,,12,1746
3q7HBObVc0L8jNeTe5Gofh,50 Cent,"east coast hip hop,gangster rap,hip hop,pop rap,queens hip hop,rap",80,12821437
0zOcE3mg9nS6l3yxt1Y0bK,The Fray,"neo mellow,piano rock,pop,pop rock",66,4005753
0EmeFodog0BfCgMzAIvKQp,Shakira,"colombian pop,dance pop,latin pop,pop",84,31883404
2xUKvqyctCbewRgmObUM9n,Malcolm Lally,galway indie,8,744
0N0d3kjwdY2h7UVuTdJGfp,Cascada,"eurodance,europop,german techno,melbourne bounce international",62,499258
5gXUgIiv5gX9zj5Iot8lDb,Anthony Martinelli,,9,162
7FNnA9vBm6EKceENgCGRMb,Anitta,"funk pop,funk rj,pagode baiano,pop,pop nacional",75,12979087
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,"chicago rap,hip hop,rap",88,21866547
7o95ZoZt5ZYn31e9z1Hc0a,Natasha Bedingfield,"dance pop,pop,post-teen pop",63,1656254
1KCSPY1glIKqW2TotWuXOR,P!nk,"dance pop,pop",78,16032064
4phGZZrJZRo4ElhRtViYdl,Jason Mraz,"acoustic pop,dance pop,neo mellow,pop",69,7264272
3O0n3Twf8wPqVc5x9FJBYe,Skyzz,,12,352
5l3nkPJllQnOEOp5ZP5QyW,The Sleeping,,30,21292
4pADjHPWyrlAF0FA7joK2H,Jay Sean,"dance pop,pop,pop rap,post-teen pop",62,1757224
0WqfvIHk0iWcqlp4UsZyMC,st.James,,16,1027
3BmGtnKgCSGYIUhmivXKWX,Kelly Clarkson,"dance pop,pop,talent show",72,10220751
2ePDWKisYScdi7gDb8WOEO,The North Country,dc indie,8,625
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,"dance pop,pop",76,11940576
5ndkK3dpZLKtBklKjxNQwT,B.o.B,"atl hip hop,dance pop,pop rap,rap,southern hip hop",70,2114164
531qdIZUdxxz8LQ4j63zTP,Player1,,38,3850
42MRYPhQfcEXqb18dl5ERX,"Bobby ""Boris"" Pickett","halloween,novelty",60,21212
164hs3x1Tsp3FgJWNHee1r,The Citizens of Halloween,halloween,61,21881
