track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3GCdLUSnKSMJhs4Tj6CV3s,0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,4
3DarAbFujv6eYNliUTyqtz,0.764,0.705,8,-3.463,1,0.0284,0.259,8.92e-05,0.12,0.781,110.97,4
4PMqSO5qyjpvzhlLI5GnID,0.461,0.651,1,-8.81,0,0.0568,0.418,1.26e-05,0.782,0.383,121.07,4
6koKhrBBcExADvWuOgceNZ,0.434,0.586,9,-7.612,1,0.138,0.753,0.0144,0.146,0.239,78.259,4
2GAhgAjOhEmItWLfgisyOn,0.698,0.546,0,-7.234,0,0.0559,0.425,0.00314,0.16,0.335,145.044,4
6wsqVwoiVH2kde4k4KKAFU,0.927,0.619,5,-4.441,0,0.0539,0.0186,0.0,0.104,0.817,117.995,4
42VsgItocQwOQC3XWZ8JNA,0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038,4
67nepsnrcZkowTxMWigSbb,0.557,0.774,7,-5.275,0,0.351,0.012,0.0,0.396,0.397,111.975,4
1i9lZvlaDdWDPyXEE95aiq,0.458,0.535,5,-4.854,0,0.0281,0.575,0.0,0.168,0.216,82.826,4
5wG3HvLhF6Y5KTGlK0IW3J,0.571,0.549,1,-7.38,0,0.404,0.18,0.0,0.168,0.447,119.497,4
4kjI1gwQZRKNDkw1nI475M,0.455,0.621,0,-7.694,0,0.0517,0.651,2.59e-06,0.123,0.28,119.043,4
6gBFPUFcJLzWGx4lenP6h2,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,4
5L3ecxQnQ9qTBmnLQiwf0C,0.814,0.618,5,-5.614,0,0.0619,0.0386,3.34e-06,0.671,0.535,121.075,4
40iJIUlhi6renaREYGeIDS,0.666,0.465,1,-8.545,1,0.26,0.0503,0.0,0.215,0.292,167.937,4
2xLMifQCjDGFmkHkpNLD9h,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,4
1kuGVB7EU95pJObxwvfwKS,0.511,0.532,5,-5.745,1,0.0578,0.177,0.0,0.291,0.35,138.005,4
3IX0yuEVvDbnqUwMBB3ouC,0.627,0.879,9,-3.446,1,0.0955,0.00193,6.87e-06,0.0647,0.748,129.979,4
2gyxAWHebV7xPYVxqoi86f,0.546,0.846,5,-5.719,1,0.181,0.0135,0.0,0.607,0.74,162.043,4
6HU7h9RYOaPRFeh0R3UeAr,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,4
5wANPM4fQCJwkGd4rN57mH,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,4
34sOdxWu9FljH84UXdRwu1,0.43,0.692,6,-4.234,1,0.0429,0.254,4.17e-06,0.148,0.401,156.261,4
5CZ40GBx1sQ9agT82CLQCT,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,4
4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,4
2tGvwE8GcFKwNdAXMnlbfl,0.395,0.443,6,-9.72,1,0.133,0.765,9.67e-06,0.0839,0.338,168.924,3
3Nl5OkkmS5DaBZvuYofpAt,0.548,0.307,10,-9.214,1,0.0781,0.916,0.0,0.0828,0.317,127.923,4
0bYg9bo50gSsH3LtXe2SQn,0.336,0.627,7,-7.463,1,0.0384,0.164,0.0,0.0708,0.35,150.273,4
3LmvfNUQtglbTrydsdIqFU,0.837,0.462,0,-7.89,1,0.0601,0.0339,0.0,0.09,0.762,139.986,4
6xkryXuiZU360Lngd4sx13,0.669,0.727,7,-7.588,1,0.0353,0.139,0.0,0.123,0.807,102.322,4
3IcIIZMMS7UArJJPtEHXG8,0.742,0.468,10,-5.557,0,0.0625,0.0465,0.0,0.826,0.369,86.443,4
0YImOCkIJ2PWhCXaURCZnY,0.648,0.759,6,-4.315,1,0.306,0.0142,0.0,0.648,0.518,85.996,4
2aEuXA1KswHlCGPOuPmCOW,0.714,0.665,4,-7.736,0,0.0509,0.0996,0.0,0.226,0.842,78.515,4
2aBxt229cbLDOvtL7Xbb9x,0.65,0.531,4,-8.335,1,0.0364,0.457,0.0,0.249,0.487,78.946,4
3PIDciSFdrQxSQSihim3hN,0.561,0.782,3,-7.444,1,0.0317,0.022,0.0,0.109,0.704,127.148,4
0pkIJFV6mviH9dmBYsFwTM,0.603,0.407,6,-11.667,1,0.0314,0.378,1.15e-06,0.0529,0.166,121.96,4
5mgCMlxQW7fmHbrdJuowbB,0.533,0.272,9,-12.9,1,0.031,0.667,0.0,0.111,0.133,120.02,4
6uIIdjYTxxpWOyWuVXrKQO,0.808,0.944,10,-4.863,0,0.0408,0.183,1.11e-06,0.138,0.937,124.934,3
6CvTEtGagmzQvkUzzyKR9k,0.815,0.741,1,-6.04,1,0.0569,0.0277,0.0183,0.219,0.591,125.031,4
3kx21xR6IboC9HVdajgBoc,0.778,0.864,7,-4.61,0,0.0907,0.0898,0.0,0.0901,0.961,130.17,3
2O223PoYCkIPSsE4cmnr9v,0.787,0.858,5,-4.969,0,0.0555,0.263,0.0,0.103,0.964,125.093,3
